Name,Age,Mobile_Number,Password,Occupation,Location,Daily_Usage_GB,Daily_Usage_MB,Data_Limit_GB,Device_Type,Monthly_Usage_GB,Network_Package,Package_Cost,Preferred_Network,SIM_Type
Sreediviya,49,6637239166,Sreed@426,Other Professionals,Vellore,0.15,153.6,2.5,Television,4.5,Entertainment+ Data,499,5G,VI
ShreesaiKishore,60,7681670594,Shree@421,Retiree,Madurai,0.43,440.32,2.5,Tablet,12.9,Entertainment+ Data,499,5G,VI
Saipraasath,61,7400763323,Saipr@340,Unemployed,Pudukkottai,3.81,3901.44,2.5,Tablet,114.3,Entertainment+ Data,499,5G,VI
Kishore,34,7877074611,Kisho@958,Doctor,Ramanathapuram,2.9,2969.6,2,Television,87,Unlimited+ OTT,399,5G,Jio
Kannan,61,9335678450,Kanna@437,Teacher,Thoothukudi,3.34,3420.16,2,Smartphone,100.2,Unlimited+ OTT,399,5G,Jio
Rupel,52,7822130412,Rupel@970,Retiree,Thiruvallur,1.57,1607.68,2.5,Television,47.1,Entertainment+ Data,499,5G,VI
Vivekananda,23,9982337836,Vivek@014,Teacher,Chennai,0.87,890.88,2,Television,26.1,Unlimited+ OTT,399,4G,Jio
Jeevana,28,7502161403,Jeeva@716,Retiree,Ariyalur,0.57,583.68,2,Smartphone,17.1,Unlimited+ OTT,399,5G,Jio
Kapil,35,9611622309,Kapil@274,Teacher,Namakkal,0.29,296.96,2,Television,8.7,Unlimited+ OTT,399,4G,Jio
Dev,33,6153355543,Devww@784,Teacher,Thoothukudi,1.29,1320.96,2,Smartphone,38.7,Unlimited+ OTT,399,5G,Jio
Ranna,44,9247932089,Ranna@542,Student,Pudukkottai,2.2,2252.8,1,Laptop,66,Standard Plan,199,5G,BSNL
Krishna,40,8559811830,Krish@975,Retiree,Karur,0.95,972.8,1,Laptop,28.5,Standard Plan,199,5G,BSNL
Pandhya,61,6915054083,Pandh@756,Retiree,Tirunelveli,3.88,3973.12,1,Laptop,116.4,Standard Plan,199,5G,BSNL
Dravid,50,8927381235,Dravi@296,Teacher,Tiruvannamalai,3.48,3563.52,2,Tablet,104.4,Unlimited+ OTT,399,4G,Jio
Karunya,49,6705542355,Karun@501,Other Professionals,Ramanathapuram,1.75,1792,1,Television,52.5,Standard Plan,199,5G,BSNL
Karuna,21,6229215825,Karun@429,Other Professionals,Madurai,2.85,2918.4,1.5,Television,85.5,Basic+ Calls,299,4G,Airtel
Warner,67,6968450500,Warne@161,Teacher,Perambalur,1.82,1863.68,1.5,Television,54.6,Basic+ Calls,299,4G,Airtel
Dhoni,33,8745255231,Dhoni@119,IT sector,Perambalur,2.15,2201.6,1,Tablet,64.5,Standard Plan,199,4G,BSNL
Jonson,20,9723393627,Jonso@605,Other Professionals,Namakkal,3.86,3952.64,1,Laptop,115.8,Standard Plan,199,5G,BSNL
Sharma,61,8427962278,Sharm@511,Teacher,Kanchipuram,2.88,2949.12,1,Television,86.4,Standard Plan,199,4G,BSNL
Ajith,57,6104640100,Ajith@933,Doctor,Nilgiris,2.27,2324.48,2.5,Smartphone,68.1,Entertainment+ Data,499,5G,VI
Vijay,18,9634555400,Vijay@587,Doctor,Kallakurichi,4.74,4853.76,2.5,Laptop,142.2,Entertainment+ Data,499,5G,VI
Sethupathi,61,8769063038,Sethu@452,Unemployed,Dindigul,3.78,3870.72,2.5,Laptop,113.4,Entertainment+ Data,499,4G,VI
Nayan,33,9527895317,Nayan@670,Freelancer,Namakkal,1.94,1986.56,2.5,Smartphone,58.2,Entertainment+ Data,499,5G,VI
Simbu,52,6788287677,Simbu@728,Student,Madurai,3.32,3399.68,2,Smartphone,99.6,Unlimited+ OTT,399,4G,Jio
Andrea,43,9212274865,Andre@417,Teacher,Erode,3.31,3389.44,1,Laptop,99.3,Standard Plan,199,4G,BSNL
Anirudh,39,9617496153,Aniru@659,Doctor,Namakkal,2.68,2744.32,1.5,Smartphone,80.4,Basic+ Calls,299,5G,Airtel
Sivan,70,8906528198,Sivan@829,Doctor,Coimbatore,4.32,4423.68,2.5,Smartphone,129.6,Entertainment+ Data,499,5G,VI
Elon,53,6273770036,ElonL@104,Unemployed,Thoothukudi,2.6,2662.4,1.5,Tablet,78,Basic+ Calls,299,5G,Airtel
Bhanusri,22,6541716811,Bhanu@597,Doctor,Krishnagiri,3.08,3153.92,1.5,Tablet,92.4,Basic+ Calls,299,4G,Airtel
Maharajan,65,9107927606,Mahar@461,Teacher,Ramanathapuram,1.9,1945.6,2,Laptop,57,Unlimited+ OTT,399,4G,Jio
Anush,28,7370187134,Anush@746,Teacher,Karur,2.53,2590.72,1,Laptop,75.9,Standard Plan,199,5G,BSNL
Ayush,19,8871821419,Ayush@103,IT sector,Kanchipuram,4.3,4403.2,1.5,Tablet,129,Basic+ Calls,299,5G,Airtel
Bumra,18,6270293681,Bumra@755,Doctor,Krishnagiri,4.38,4485.12,2,Tablet,131.4,Unlimited+ OTT,399,4G,Jio
Siraj,39,6951082578,Siraj@186,Doctor,Thanjavur,0.9,921.6,2,Television,27,Unlimited+ OTT,399,4G,Jio
Swetha Reddy,67,6751043404,Sweth@302,Student,Vellore,4.67,4782.08,2,Tablet,140.1,Unlimited+ OTT,399,4G,Jio
Angeline,22,6449048664,Angel@724,Unemployed,Sivagangai,4.99,5109.76,2.5,Smartphone,149.7,Entertainment+ Data,499,5G,VI
Johnsy,21,8651436274,Johns@803,Doctor,Nagapattinam,3.97,4065.28,1.5,Tablet,119.1,Basic+ Calls,299,4G,Airtel
Prissila Casey,22,6185591016,Priss@987,Freelancer,Tiruppur,2.77,2836.48,2.5,Television,83.1,Entertainment+ Data,499,4G,VI
Princy,60,7652100488,Princ@193,Unemployed,Thiruvallur,4.17,4270.08,1,Laptop,125.1,Standard Plan,199,5G,BSNL
Sekar,60,6472603859,Sekar@158,Unemployed,Sivagangai,1.56,1597.44,2,Tablet,46.8,Unlimited+ OTT,399,4G,Jio
Smrithi,43,8387154144,Smrit@767,Other Professionals,Tiruchirappalli,1.93,1976.32,1.5,Tablet,57.9,Basic+ Calls,299,4G,Airtel
Vandana,23,9586569951,Vanda@047,Unemployed,Ramanathapuram,3.52,3604.48,1,Smartphone,105.6,Standard Plan,199,4G,BSNL
Sangakara,68,8761344286,Sanga@205,Teacher,Nagapattinam,3.18,3256.32,2.5,Smartphone,95.4,Entertainment+ Data,499,4G,VI
Venkatesh,70,8526648111,Venka@304,Student,Chennai,0.36,368.64,2.5,Television,10.8,Entertainment+ Data,499,5G,VI
Ganesh,40,9765444168,Ganes@125,Teacher,Kallakurichi,0.87,890.88,1,Television,26.1,Standard Plan,199,5G,BSNL
Durai,23,7540699320,Durai@603,Other Professionals,Vellore,0.25,256,2,Tablet,7.5,Unlimited+ OTT,399,5G,Jio
Jackson,67,7431147432,Jacks@272,Other Professionals,Dindigul,4.17,4270.08,2.5,Television,125.1,Entertainment+ Data,499,4G,VI
Gunanidhi,37,9133168290,Gunan@550,Freelancer,Salem,3.12,3194.88,2.5,Smartphone,93.6,Entertainment+ Data,499,5G,VI
Tharukesh,53,6944408869,Tharu@710,Teacher,Dindigul,4.44,4546.56,2,Television,133.2,Unlimited+ OTT,399,4G,Jio
Leksia,34,7507129353,Leksi@355,Freelancer,Vellore,2.42,2478.08,1.5,Laptop,72.6,Basic+ Calls,299,5G,Airtel
Haritha,21,7459887386,Harit@807,Freelancer,Ramanathapuram,0.82,839.68,2.5,Laptop,24.6,Entertainment+ Data,499,4G,VI
Roopashree,37,6888646920,Roopa@406,Other Professionals,Villupuram,0.63,645.12,2.5,Television,18.9,Entertainment+ Data,499,4G,VI
Manunidhi,45,9888950055,Manun@894,IT sector,Nilgiris,4.04,4136.96,2.5,Smartphone,121.2,Entertainment+ Data,499,5G,VI
Immanuel,41,8482631996,Imman@391,Unemployed,Kanchipuram,4.75,4864,1.5,Tablet,142.5,Basic+ Calls,299,4G,Airtel
Jeeva,64,8110192062,Jeeva@601,Teacher,Theni,1.95,1996.8,1,Tablet,58.5,Standard Plan,199,5G,BSNL
Diraj,61,6546404463,Diraj@173,Teacher,Karur,0.73,747.52,1.5,Television,21.9,Basic+ Calls,299,4G,Airtel
Harshini,41,9691153096,Harsh@177,Doctor,Thoothukudi,1.8,1843.2,2.5,Tablet,54,Entertainment+ Data,499,4G,VI
Anuradha,48,9347921376,Anura@784,Student,Tirunelveli,2.28,2334.72,2.5,Television,68.4,Entertainment+ Data,499,5G,VI
Shamitha,55,8781840563,Shami@858,IT sector,Kallakurichi,1.46,1495.04,1,Television,43.8,Standard Plan,199,4G,BSNL
Saurab,29,9922006023,Saura@885,Unemployed,Thiruvallur,3.44,3522.56,2.5,Television,103.2,Entertainment+ Data,499,4G,VI
Kohli,58,7104098110,Kohli@277,Doctor,Sivagangai,2.31,2365.44,1.5,Smartphone,69.3,Basic+ Calls,299,5G,Airtel
JaiGanesh,54,7504852554,JaiGa@288,Other Professionals,Krishnagiri,0.69,706.56,1.5,Smartphone,20.7,Basic+ Calls,299,5G,Airtel
JaiShankar,19,7236627560,JaiSh@793,Student,Tiruppur,3.75,3840,1,Television,112.5,Standard Plan,199,5G,BSNL
Uday,58,8797725923,Udayr@984,Teacher,Ariyalur,1.15,1177.6,2.5,Smartphone,34.5,Entertainment+ Data,499,5G,VI
Trump,35,7124407649,Trump@620,Unemployed,Krishnagiri,0.68,696.32,1.5,Smartphone,20.4,Basic+ Calls,299,5G,Airtel
Jaculin,26,9843405536,Jacul@795,IT sector,Krishnagiri,1.23,1259.52,1,Tablet,36.9,Standard Plan,199,4G,BSNL
Rakshan,46,8341616626,Raksh@689,Doctor,Coimbatore,3.37,3450.88,1,Smartphone,101.1,Standard Plan,199,5G,BSNL
Pugazh,70,6439547425,Pugaz@999,Retiree,Pudukkottai,0.13,133.12,1.5,Television,3.9,Basic+ Calls,299,4G,Airtel
Riyan,26,6803900060,Riyan@479,Freelancer,Dindigul,2.65,2713.6,2,Tablet,79.5,Unlimited+ OTT,399,5G,Jio
Rayan,19,6629265717,Rayan@877,Other Professionals,Pudukkottai,4.92,5038.08,2.5,Television,147.6,Entertainment+ Data,499,5G,VI
Tamizhasan,23,6473856952,Tamiz@887,Freelancer,Thiruvarur,4.73,4843.52,2.5,Television,141.9,Entertainment+ Data,499,5G,VI
Rakshitha,64,7947949943,Raksh@512,Unemployed,Kanchipuram,4.27,4372.48,1,Smartphone,128.1,Standard Plan,199,5G,BSNL
Anshdha,62,9505610354,Anshd@349,IT sector,Tirunelveli,0.71,727.04,1.5,Laptop,21.3,Basic+ Calls,299,5G,Airtel
Komadhi,58,7206841637,Komad@116,Doctor,Tiruchirappalli,2.48,2539.52,1.5,Laptop,74.4,Basic+ Calls,299,4G,Airtel
Kopuradevi,32,7839854708,Kopur@254,Other Professionals,Karur,4.65,4761.6,1,Smartphone,139.5,Standard Plan,199,4G,BSNL
PrithviRajKumar,34,9602789367,Prith@724,Student,Thiruvarur,2.76,2826.24,2.5,Laptop,82.8,Entertainment+ Data,499,4G,VI
Govinthdan,51,7269643521,Govin@988,Freelancer,Tiruvannamalai,3.47,3553.28,2,Tablet,104.1,Unlimited+ OTT,399,5G,Jio
Gopalan,34,7806088154,Gopal@850,Unemployed,Pudukkottai,2.29,2344.96,2.5,Television,68.7,Entertainment+ Data,499,4G,VI
Vinayan,30,9335125593,Vinay@464,Teacher,Krishnagiri,2.07,2119.68,1.5,Television,62.1,Basic+ Calls,299,4G,Airtel
Pravathi,23,7165476446,Prava@277,Doctor,Thoothukudi,4.87,4986.88,2,Laptop,146.1,Unlimited+ OTT,399,4G,Jio
Annamalai,69,9356426691,Annam@104,Freelancer,Thanjavur,4.66,4771.84,1,Television,139.8,Standard Plan,199,5G,BSNL
Unnamali,40,9482616335,Unnam@179,Unemployed,Villupuram,0.41,419.84,2,Laptop,12.3,Unlimited+ OTT,399,4G,Jio
Malli,25,6312015271,Malli@331,Freelancer,Dindigul,2.8,2867.2,1.5,Tablet,84,Basic+ Calls,299,4G,Airtel
Gowri,54,7928535570,Gowri@026,IT sector,Theni,0.55,563.2,2,Laptop,16.5,Unlimited+ OTT,399,4G,Jio
Kandavel,61,8670908070,Kanda@440,Doctor,Thoothukudi,2.95,3020.8,2,Television,88.5,Unlimited+ OTT,399,5G,Jio
Eshwaran,48,8507563855,Eshwa@009,Teacher,Krishnagiri,1.72,1761.28,2,Television,51.6,Unlimited+ OTT,399,4G,Jio
Rohan,43,7686316064,Rohan@790,IT sector,Thiruvarur,2.06,2109.44,2,Tablet,61.8,Unlimited+ OTT,399,4G,Jio
Ashok,32,8516763468,Ashok@279,Student,Kanchipuram,4.91,5027.84,2,Smartphone,147.3,Unlimited+ OTT,399,4G,Jio
Selvan,31,7549998029,Selva@025,Retiree,Thoothukudi,4.42,4526.08,2.5,Smartphone,132.6,Entertainment+ Data,499,5G,VI
Dakshav,35,8126380567,Daksh@318,IT sector,Perambalur,2.64,2703.36,2.5,Tablet,79.2,Entertainment+ Data,499,4G,VI
Harish,70,7930541008,Haris@719,Other Professionals,Namakkal,3.54,3624.96,2.5,Laptop,106.2,Entertainment+ Data,499,5G,VI
Jayaraj,19,6525230870,Jayar@483,Freelancer,Tiruppur,2.07,2119.68,2.5,Laptop,62.1,Entertainment+ Data,499,4G,VI
Karthik,43,7771255903,Karth@311,Student,Salem,4.79,4904.96,2.5,Smartphone,143.7,Entertainment+ Data,499,4G,VI
Suriya,37,9160725665,Suriy@285,Retiree,Kanchipuram,4.08,4177.92,2.5,Laptop,122.4,Entertainment+ Data,499,4G,VI
Gowtham,58,9170748606,Gowth@526,Other Professionals,Krishnagiri,0.66,675.84,1.5,Television,19.8,Basic+ Calls,299,4G,Airtel
GowriAnandhi,20,7230312316,Gowri@991,IT sector,Coimbatore,0.79,808.96,1.5,Laptop,23.7,Basic+ Calls,299,5G,Airtel
Anandhi,37,9255355660,Anand@686,Doctor,Villupuram,0.94,962.56,1,Television,28.2,Standard Plan,199,5G,BSNL
SuryaPrakash,57,6220687243,Surya@042,Student,Thanjavur,4.14,4239.36,1.5,Tablet,124.2,Basic+ Calls,299,4G,Airtel
PrakashRaj,27,8718117226,Praka@566,Doctor,Namakkal,1.48,1515.52,1,Tablet,44.4,Standard Plan,199,4G,BSNL
Aarthi,22,7976424147,Aarth@185,IT sector,Thiruvallur,0.2,204.8,2,Television,6,Unlimited+ OTT,399,5G,Jio
Ishwarya,60,7483635894,Ishwa@630,Other Professionals,Thiruvallur,2.05,2099.2,1,Smartphone,61.5,Standard Plan,199,5G,BSNL
Ajay,28,9816104737,Ajaym@114,Unemployed,Namakkal,3.26,3338.24,2.5,Tablet,97.8,Entertainment+ Data,499,5G,VI
Amala,65,9914788383,Amala@508,Teacher,Nilgiris,3.67,3758.08,1,Smartphone,110.1,Standard Plan,199,5G,BSNL
Anil,39,7447422522,AnilB@618,IT sector,Tiruvannamalai,1.42,1454.08,2,Tablet,42.6,Unlimited+ OTT,399,5G,Jio
Ajali,44,7160167490,Ajali@578,Unemployed,Tirunelveli,4.18,4280.32,1,Smartphone,125.4,Standard Plan,199,5G,BSNL
Archana,45,7456991435,Archa@703,Unemployed,Nilgiris,3.26,3338.24,2,Laptop,97.8,Unlimited+ OTT,399,5G,Jio
Ashish,70,7929818614,Ashis@957,Teacher,Nagapattinam,4.64,4751.36,2,Laptop,139.2,Unlimited+ OTT,399,4G,Jio
Kowsalya,67,6617118221,Kowsa@666,Unemployed,Salem,2.91,2979.84,2,Laptop,87.3,Unlimited+ OTT,399,5G,Jio
Bala,37,8696759698,Balaw@232,Doctor,Perambalur,3.95,4044.8,2.5,Television,118.5,Entertainment+ Data,499,4G,VI
Prabha,31,7840569075,Prabh@246,Other Professionals,Coimbatore,4.34,4444.16,1.5,Tablet,130.2,Basic+ Calls,299,5G,Airtel
Gopinath,66,7519718458,Gopin@452,Retiree,Pudukkottai,0.36,368.64,2,Television,10.8,Unlimited+ OTT,399,4G,Jio
Hema,49,8207477801,HemaA@429,Freelancer,Sivagangai,3.23,3307.52,1.5,Smartphone,96.9,Basic+ Calls,299,5G,Airtel
Idra,52,7972776534,IdraG@285,Student,Tiruvannamalai,2.9,2969.6,1,Television,87,Standard Plan,199,5G,BSNL
Indumathi,50,8456762674,Indum@759,IT sector,Thoothukudi,4.54,4648.96,1,Smartphone,136.2,Standard Plan,199,5G,BSNL
Jayanidhi,45,7278663953,Jayan@239,Student,Thiruvallur,0.39,399.36,2.5,Smartphone,11.7,Entertainment+ Data,499,5G,VI
Kalpana,43,8317982422,Kalpa@441,Unemployed,Tirunelveli,1.84,1884.16,2.5,Smartphone,55.2,Entertainment+ Data,499,4G,VI
Kala,53,9609227794,KalaQ@305,Unemployed,Namakkal,0.84,860.16,2,Tablet,25.2,Unlimited+ OTT,399,5G,Jio
Jyothi,39,9961105770,Jyoth@483,Doctor,Nilgiris,1.05,1075.2,2,Smartphone,31.5,Unlimited+ OTT,399,4G,Jio
Kamakshi,26,9541640417,Kamak@161,Teacher,Sivagangai,1.4,1433.6,1,Laptop,42,Standard Plan,199,5G,BSNL
Kanchana,61,9628676002,Kanch@820,Doctor,Erode,2.41,2467.84,2,Smartphone,72.3,Unlimited+ OTT,399,5G,Jio
Leelavathi,48,8637812341,Leela@914,Unemployed,Thoothukudi,4.26,4362.24,1,Laptop,127.8,Standard Plan,199,5G,BSNL
Mathimalar,66,6525823099,Mathi@797,Student,Krishnagiri,1.57,1607.68,1,Smartphone,47.1,Standard Plan,199,5G,BSNL
Mathivanan,48,6191302488,Mathi@400,Student,Cuddalore,3.5,3584,2,Smartphone,105,Unlimited+ OTT,399,5G,Jio
Mathew,33,6572735426,Mathe@899,IT sector,Kanchipuram,4.51,4618.24,1.5,Laptop,135.3,Basic+ Calls,299,5G,Airtel
Isaac,61,8802139365,Isaac@491,Unemployed,Cuddalore,3.88,3973.12,2.5,Laptop,116.4,Entertainment+ Data,499,5G,VI
Nasriya,29,6242333253,Nasri@822,Retiree,Krishnagiri,1.01,1034.24,1.5,Laptop,30.3,Basic+ Calls,299,5G,Airtel
Fahad,53,8551471091,Fahad@391,Freelancer,Tiruchirappalli,2.87,2938.88,1.5,Tablet,86.1,Basic+ Calls,299,4G,Airtel
Fassil,23,8317831712,Fassi@196,Doctor,Krishnagiri,4.29,4392.96,2,Smartphone,128.7,Unlimited+ OTT,399,4G,Jio
Kamalakanan,70,7667170447,Kamal@351,Freelancer,Tiruppur,4.81,4925.44,2.5,Laptop,144.3,Entertainment+ Data,499,5G,VI
Rajini,32,7284288724,Rajin@437,Doctor,Thiruvarur,1.4,1433.6,2,Laptop,42,Unlimited+ OTT,399,5G,Jio
Mohanapriya,34,6515455659,Mohan@824,Freelancer,Tiruppur,3.17,3246.08,2,Tablet,95.1,Unlimited+ OTT,399,4G,Jio
Vijaykumar,32,6954094795,Vijay@534,Retiree,Krishnagiri,4.21,4311.04,2,Smartphone,126.3,Unlimited+ OTT,399,4G,Jio
Haridoss,50,9934279718,Harid@422,Unemployed,Karur,2.22,2273.28,1,Smartphone,66.6,Standard Plan,199,5G,BSNL
Lingesh,38,6255280908,Linge@309,Retiree,Dindigul,1.44,1474.56,1,Tablet,43.2,Standard Plan,199,4G,BSNL
Revathi,18,9868817699,Revat@202,Doctor,Kanchipuram,3.58,3665.92,1.5,Television,107.4,Basic+ Calls,299,5G,Airtel
Padmavathy,21,6334057064,Padma@538,Freelancer,Nilgiris,0.8,819.2,1,Smartphone,24,Standard Plan,199,5G,BSNL
Tharani,58,9416176779,Thara@596,Student,Thiruvallur,2.53,2590.72,2.5,Laptop,75.9,Entertainment+ Data,499,4G,VI
SanjayKuamran,65,8185432748,Sanja@731,IT sector,Dindigul,3.58,3665.92,2,Smartphone,107.4,Unlimited+ OTT,399,5G,Jio
Vishwanathan,48,9979268948,Vishw@877,Other Professionals,Nilgiris,1.51,1546.24,1.5,Television,45.3,Basic+ Calls,299,5G,Airtel
Varalakshmi,30,9586375814,Varal@149,Freelancer,Tirunelveli,4.77,4884.48,1.5,Smartphone,143.1,Basic+ Calls,299,4G,Airtel
Balasundran,70,7203223469,Balas@200,Doctor,Krishnagiri,4.31,4413.44,1.5,Laptop,129.3,Basic+ Calls,299,5G,Airtel
Prabhavathy,62,8575073471,Prabh@628,Teacher,Erode,3.31,3389.44,2.5,Tablet,99.3,Entertainment+ Data,499,5G,VI
Arunachalan,31,8179787248,Aruna@437,Retiree,Thoothukudi,1.3,1331.2,1.5,Tablet,39,Basic+ Calls,299,5G,Airtel
Manonmani,49,8775671543,Manon@362,Other Professionals,Kanchipuram,3.48,3563.52,1.5,Smartphone,104.4,Basic+ Calls,299,4G,Airtel
Kailash,38,7324168895,Kaila@180,Unemployed,Cuddalore,2.56,2621.44,2.5,Laptop,76.8,Entertainment+ Data,499,5G,VI
Abiman,66,9480726991,Abima@710,IT sector,Villupuram,3.9,3993.6,2,Laptop,117,Unlimited+ OTT,399,5G,Jio
Tanisha,68,7524357552,Tanis@027,Freelancer,Ariyalur,2.26,2314.24,2,Tablet,67.8,Unlimited+ OTT,399,5G,Jio
Boobendar,43,8257294879,Boobe@246,Unemployed,Salem,3.7,3788.8,1.5,Laptop,111,Basic+ Calls,299,4G,Airtel
Anishmaran,34,8585031988,Anish@175,Doctor,Ariyalur,0.32,327.68,1,Smartphone,9.6,Standard Plan,199,5G,BSNL
Siranjeevi,53,9577314012,Siran@363,Student,Virudhunagar,4.99,5109.76,2.5,Tablet,149.7,Entertainment+ Data,499,5G,VI
Amitabh,41,6651700269,Amita@565,Student,Namakkal,0.96,983.04,2,Television,28.8,Unlimited+ OTT,399,4G,Jio
Amitash,44,6691585026,Amita@797,IT sector,Thanjavur,0.69,706.56,2.5,Television,20.7,Entertainment+ Data,499,5G,VI
Gokulapriya,33,7694261288,Gokul@822,Other Professionals,Theni,3.3,3379.2,2.5,Smartphone,99,Entertainment+ Data,499,4G,VI
Supriya,29,6549672271,Supri@704,Unemployed,Dharmapuri,0.27,276.48,1.5,Television,8.1,Basic+ Calls,299,5G,Airtel
Suprith,52,6214793508,Supri@013,Doctor,Kanchipuram,3.94,4034.56,2.5,Television,118.2,Entertainment+ Data,499,4G,VI
Chandra,28,8830551129,Chand@367,Doctor,Ramanathapuram,4.99,5109.76,2.5,Laptop,149.7,Entertainment+ Data,499,4G,VI
Yaminidevi,51,6624012426,Yamin@516,Doctor,Coimbatore,1.49,1525.76,2,Television,44.7,Unlimited+ OTT,399,4G,Jio
Arya,62,8334101743,AryaL@876,Unemployed,Dindigul,4.14,4239.36,2.5,Tablet,124.2,Entertainment+ Data,499,5G,VI
Sayeesha,41,9282339659,Sayee@274,IT sector,Tiruvannamalai,4.04,4136.96,1.5,Smartphone,121.2,Basic+ Calls,299,5G,Airtel
Arav,60,6347818435,Aravk@849,Other Professionals,Ramanathapuram,2.79,2856.96,1.5,Television,83.7,Basic+ Calls,299,5G,Airtel
Harishkalyan,58,9930873444,Haris@754,Doctor,Dindigul,2.52,2580.48,1.5,Smartphone,75.6,Basic+ Calls,299,4G,Airtel
Dhruv,59,9505857632,Dhruv@504,Freelancer,Thoothukudi,2.41,2467.84,2.5,Television,72.3,Entertainment+ Data,499,4G,VI
Devaraj,24,6606793471,Devar@523,Doctor,Tiruppur,4.96,5079.04,2.5,Tablet,148.8,Entertainment+ Data,499,4G,VI
Devara,64,7428513815,Devar@785,Other Professionals,Salem,4.27,4372.48,1.5,Smartphone,128.1,Basic+ Calls,299,4G,Airtel
Jhanvi,44,9285747639,Jhanv@079,IT sector,Krishnagiri,2.73,2795.52,1.5,Television,81.9,Basic+ Calls,299,4G,Airtel
Kapoor,24,8740251917,Kapoo@235,Retiree,Ariyalur,2.86,2928.64,1,Television,85.8,Standard Plan,199,4G,BSNL
Nakul,38,8339020085,Nakul@615,Unemployed,Thiruvarur,2.53,2590.72,2,Smartphone,75.9,Unlimited+ OTT,399,5G,Jio
Mythili,26,9245847182,Mythi@618,Doctor,Salem,2.01,2058.24,1,Smartphone,60.3,Standard Plan,199,4G,BSNL
Abinaya,48,8561312842,Abina@597,Retiree,Nilgiris,3.18,3256.32,2.5,Television,95.4,Entertainment+ Data,499,5G,VI
Leenaroshni,67,7226654916,Leena@545,Student,Nagapattinam,2.68,2744.32,1.5,Smartphone,80.4,Basic+ Calls,299,5G,Airtel
Krithika,67,8920559733,Krith@001,IT sector,Tiruvannamalai,1.71,1751.04,1.5,Tablet,51.3,Basic+ Calls,299,5G,Airtel
Chelli,60,7471176792,Chell@919,Unemployed,Nilgiris,0.9,921.6,1.5,Tablet,27,Basic+ Calls,299,5G,Airtel
Dinolini,54,9297689166,Dinol@856,Teacher,Thanjavur,3.84,3932.16,1,Television,115.2,Standard Plan,199,4G,BSNL
Aslin,60,8852531164,Aslin@220,Freelancer,Theni,2.84,2908.16,1,Smartphone,85.2,Standard Plan,199,4G,BSNL
Jeba,31,8730291973,Jebaw@972,Freelancer,Erode,1.3,1331.2,1,Television,39,Standard Plan,199,4G,BSNL
Kowsi,68,6876803449,Kowsi@041,Doctor,Namakkal,1.62,1658.88,1.5,Smartphone,48.6,Basic+ Calls,299,4G,Airtel
Pandiamma,60,6333425300,Pandi@186,Student,Thiruvarur,0.85,870.4,1,Tablet,25.5,Standard Plan,199,5G,BSNL
Jacklin,56,9342705771,Jackl@015,Unemployed,Krishnagiri,2.8,2867.2,1.5,Television,84,Basic+ Calls,299,4G,Airtel
Kamesh,54,9154304044,Kames@763,Freelancer,Cuddalore,2.34,2396.16,2.5,Tablet,70.2,Entertainment+ Data,499,5G,VI
Rohini,57,9566688853,Rohin@773,IT sector,Thoothukudi,2.67,2734.08,1,Tablet,80.1,Standard Plan,199,4G,BSNL
Sandy,60,7490461964,Sandy@735,Student,Ariyalur,4.98,5099.52,1,Smartphone,149.4,Standard Plan,199,4G,BSNL
Prajan,40,8891933022,Praja@980,Other Professionals,Thanjavur,0.27,276.48,2,Smartphone,8.1,Unlimited+ OTT,399,4G,Jio
Kushi,54,7381048637,Kushi@009,Other Professionals,Virudhunagar,4.03,4126.72,1,Smartphone,120.9,Standard Plan,199,4G,BSNL
Kabir,68,9837006976,Kabir@312,Teacher,Villupuram,2.81,2877.44,2.5,Tablet,84.3,Entertainment+ Data,499,4G,VI
Pranav,34,8921509713,Prana@074,Teacher,Tirunelveli,4.43,4536.32,1,Television,132.9,Standard Plan,199,4G,BSNL
Sneha,38,8860238072,Sneha@508,Retiree,Namakkal,4.66,4771.84,2.5,Tablet,139.8,Entertainment+ Data,499,5G,VI
Disha,29,9617603355,Disha@113,Student,Salem,1.85,1894.4,2,Tablet,55.5,Unlimited+ OTT,399,5G,Jio
Mary,48,8286703141,Maryk@040,Retiree,Sivagangai,1.48,1515.52,2,Television,44.4,Unlimited+ OTT,399,5G,Jio
Veda,59,6866374014,Vedam@115,IT sector,Ariyalur,4.4,4505.6,1.5,Television,132,Basic+ Calls,299,5G,Airtel
Simran,49,9568974787,Simra@380,Teacher,Chennai,1.54,1576.96,2,Smartphone,46.2,Unlimited+ OTT,399,5G,Jio
jacky,34,6210086592,jacky@102,Freelancer,Chennai,1.99,2037.76,2,Smartphone,59.7,Unlimited+ OTT,399,4G,Jio
JimiCortan,32,8343610834,JimiC@163,Freelancer,Namakkal,2.64,2703.36,2,Television,79.2,Unlimited+ OTT,399,4G,Jio
Meenakshi,43,8245630569,Meena@449,Freelancer,Thiruvallur,0.74,757.76,1.5,Television,22.2,Basic+ Calls,299,5G,Airtel
Nafilia,61,8142327397,Nafil@256,Doctor,Tirunelveli,4.19,4290.56,1.5,Television,125.7,Basic+ Calls,299,4G,Airtel
Sudarshana,25,7996029456,Sudar@936,Freelancer,Ariyalur,3.15,3225.6,2,Laptop,94.5,Unlimited+ OTT,399,5G,Jio
